channel,link,type,content
Evelina Parkere,FrpDrV957D,prop_title,es aizgāju no šova un šis ir kapēc...
Evelina Parkere,FrpDrV957D,prop_description,
Evelina Parkere,FrpDrV957D,prop_comment,40 minūtes pagāja ātrāk nekā matemātikas stundas.
Evelina Parkere,FrpDrV957D,prop_comment,"Evelīna: ieliek video un saka, ka negrib drāmu.
Delfi: it's free real estate!"
Evelina Parkere,FrpDrV957D,prop_comment,"Walk it like you talk it! Viņiem būs jārespektē abas Tavas puses, un pastāvi pie sava - tad arī visi Tavi mērķi piepildīsies, tā kā Tu to esi iedomājusies, nevis citi. cīnās :)"
Evelina Parkere,FrpDrV957D,prop_comment,Why do I get James Charles flashback?
Evelina Parkere,FrpDrV957D,prop_comment,"Bāc, kļūdīties ir tikai cilvēcīgi. Un paldies par paskaidrojumu, tam ko redzējām. Ir jābūt stiprai, lai visu priekšā atzītu savu vainu un kļūdas. Un kāda 15 gadu kompānija? Kādi producenti? Bērnudārzs. Pieauguši normāli domājoši cilvēki izturas ar cieņu pret cilvēkiem ar ko strādā, lai vai kas tā būtu par industriju. Paldies, ka padalījies ar savu pieredzi. Lai vai kāda drāma, interesants ieskats aiz tā murga. 😅"
Evelina Parkere,FrpDrV957D,prop_comment,Šīs 47min bija noskatīties stipri vieglāk un interesantāk kā tās 37min pirmajā šova epizodē.
Evelina Parkere,44vbTGmfNE4,prop_title,"KĀ NOTIEK ""VISS PA JAUNAM"" FILMĒŠANA: process, aktieri, aizkadri l EVELĪNA PĀRKERE"
Evelina Parkere,44vbTGmfNE4,prop_description,"Liels paldies, ka noskatījies šo video, es ļoti ceru, ka tev patika!

Skates seriālu darba dienās, no pirmdienas-ceturtdienai 20.20- TV3

Sekot  līdzi seriālam un tā jaunumiem vari šeit-

Es tiešām ļoti ceru, ka jums patīk seriāls un, ja arī šķiet, ka esmu jau 100 rezes pateikusi visiem paldies, tad man tas nekad nebūs pietiekami, jo es no sirds esmu iemīlējusi šo procesu un visus cilvēkus, kas to padara tik superīgu.

Diemžēl man video nebija neviena kadra, taču es gribētu pateikt MILZĪGU paldies mūsu režisoriem Zandai Seņkovai un Reinim Ūbelim.
Kā arī Aigaram Graubam un Andrajam Ēķim.


Mans instagrams- 
Sadarbības piedāvājumiem un reklāmām- evelinayoutube@inbox.lv"
Evelina Parkere,44vbTGmfNE4,prop_comment,"Visaas man paziistamaas mana vecuma meitenes fano par Billie Eiliish, bet es fanoju par Evelīnu Pārkeri😂🤪❤❤❤❤"
Evelina Parkere,44vbTGmfNE4,prop_comment,Režisori tiešām bija izmisumā kad paņēma šito čiepu
